trial_counter,kappa_mean,kappa_std,alpha,booster,eta,lambda,lambda_bias,max_evals,nthread,num_round,objective,seed,silent,task
113,0.680616,0.005794,0.165,gblinear,0.68,3.7,0.3,200,2,390,reg:linear,2015,1,regression
114,0.680462,0.005456,0.04,gblinear,0.55,3.85,0.9,200,2,170,reg:linear,2015,1,regression
115,0.678778,0.006125,0.43,gblinear,0.71,1.8,1.1,200,2,340,reg:linear,2015,1,regression
116,0.678406,0.005066,0.01,gblinear,0.62,3.1,1.0,200,2,470,reg:linear,2015,1,regression
117,0.680331,0.005278,0.22,gblinear,0.16,2.55,0.7,200,2,450,reg:linear,2015,1,regression
118,0.658326,0.003960,0.025,gblinear,0.09,0.75,1.5,200,2,320,reg:linear,2015,1,regression
119,0.679687,0.005974,0.13,gblinear,0.6,4.7,1.3,200,2,300,reg:linear,2015,1,regression
120,0.672615,0.004883,0.095,gblinear,0.33,1.25,2.0,200,2,250,reg:linear,2015,1,regression
121,0.680466,0.005250,0.14,gblinear,0.98,2.85,2.4,200,2,500,reg:linear,2015,1,regression
122,0.679011,0.006282,0.28,gblinear,0.77,3.3,1.2,200,2,440,reg:linear,2015,1,regression
123,0.678425,0.005242,0.08,gblinear,0.45,2.3,0.1,200,2,230,reg:linear,2015,1,regression
124,0.680726,0.005463,0.145,gblinear,0.64,3.45,1.4,200,2,370,reg:linear,2015,1,regression
125,0.681125,0.004781,0.06,gblinear,0.48,4.55,1.7,200,2,430,reg:linear,2015,1,regression
126,0.679799,0.005984,0.19,gblinear,0.85,4.15,0.8,200,2,400,reg:linear,2015,1,regression
127,0.680099,0.006140,0.125,gblinear,0.74,4.8,0.4,200,2,380,reg:linear,2015,1,regression
128,0.679861,0.005323,0.0,gblinear,0.88,4.35,1.9,200,2,490,reg:linear,2015,1,regression
129,0.679310,0.006405,0.205,gblinear,0.51,4.9,1.6,200,2,330,reg:linear,2015,1,regression
130,0.680338,0.005394,0.045,gblinear,0.92,3.55,0.5,200,2,420,reg:linear,2015,1,regression
131,0.679820,0.005990,0.18,gblinear,0.82,4.05,1.0,200,2,130,reg:linear,2015,1,regression
132,0.670599,0.004915,0.02,gblinear,0.36,1.6,3.0,200,2,360,reg:linear,2015,1,regression
133,0.679588,0.005231,0.295,gblinear,0.66,2.45,1.8,200,2,460,reg:linear,2015,1,regression
134,0.680908,0.005443,0.105,gblinear,0.7,4.25,0.9,200,2,480,reg:linear,2015,1,regression
135,0.678324,0.006521,0.335,gblinear,0.3,3.85,2.3,200,2,390,reg:linear,2015,1,regression
136,0.676606,0.004519,0.035,gblinear,0.72,2.15,1.6,200,2,450,reg:linear,2015,1,regression
137,0.681445,0.005054,0.08,gblinear,0.53,3.95,0.7,200,2,490,reg:linear,2015,1,regression
138,0.680218,0.004892,0.155,gblinear,0.6,2.75,2.9,200,2,270,reg:linear,2015,1,regression
139,0.680713,0.005221,0.065,gblinear,0.68,3.65,1.3,200,2,350,reg:linear,2015,1,regression
140,0.663015,0.004682,0.17,gblinear,0.42,0.3,1.9,200,2,410,reg:linear,2015,1,regression
141,0.680343,0.005255,0.09,gblinear,0.79,3.35,0.6,200,2,160,reg:linear,2015,1,regression
142,0.679710,0.005477,0.115,gblinear,0.21,5.0,2.2,200,2,80,reg:linear,2015,1,regression
143,0.679862,0.005518,0.2,gblinear,0.55,3.15,1.4,200,2,440,reg:linear,2015,1,regression
144,0.679213,0.006326,0.215,gblinear,0.96,4.4,1.1,200,2,430,reg:linear,2015,1,regression
145,0.678871,0.005341,0.005,gblinear,0.39,3.75,1.5,200,2,480,reg:linear,2015,1,regression
146,0.681105,0.004722,0.08,gblinear,0.53,3.95,0.7,200,2,490,reg:linear,2015,1,regression
147,0.681138,0.004934,0.05,gblinear,0.58,4.1,1.2,200,2,470,reg:linear,2015,1,regression
148,0.681131,0.005573,0.07,gblinear,0.64,4.65,0.2,200,2,470,reg:linear,2015,1,regression
149,0.680383,0.005063,0.035,gblinear,0.46,3.9,0.7,200,2,500,reg:linear,2015,1,regression
150,0.681164,0.004976,0.1,gblinear,0.48,3.5,0.4,200,2,460,reg:linear,2015,1,regression
151,0.680763,0.006366,0.13,gblinear,0.43,4.25,0.8,200,2,490,reg:linear,2015,1,regression
152,0.679821,0.005242,0.02,gblinear,0.62,3.7,0.3,200,2,400,reg:linear,2015,1,regression
153,0.680927,0.005694,0.085,gblinear,0.51,4.5,0.9,200,2,440,reg:linear,2015,1,regression
154,0.681014,0.005054,0.155,gblinear,0.35,2.85,0.6,200,2,500,reg:linear,2015,1,regression
155,0.680960,0.004911,0.115,gblinear,0.57,3.6,1.1,200,2,420,reg:linear,2015,1,regression
156,0.680328,0.004813,0.055,gblinear,0.41,3.25,1.2,200,2,460,reg:linear,2015,1,regression
157,0.680329,0.004669,0.14,gblinear,0.75,3.05,1.0,200,2,370,reg:linear,2015,1,regression
158,0.680706,0.006086,0.095,gblinear,0.53,4.75,0.5,200,2,450,reg:linear,2015,1,regression
159,0.679193,0.005128,0.03,gblinear,0.27,3.4,0.8,200,2,410,reg:linear,2015,1,regression
160,0.676795,0.004453,0.075,gblinear,0.69,4.45,1.4,200,2,50,reg:linear,2015,1,regression
161,0.679720,0.005094,0.01,gblinear,0.49,4.1,0.9,200,2,390,reg:linear,2015,1,regression
162,0.681187,0.005278,0.125,gblinear,0.55,3.8,1.0,200,2,480,reg:linear,2015,1,regression
163,0.677334,0.006011,0.36,gblinear,0.45,4.6,0.0,200,2,110,reg:linear,2015,1,regression
164,0.681224,0.005208,0.065,gblinear,0.66,4.0,0.7,200,2,430,reg:linear,2015,1,regression
165,0.680602,0.005415,0.11,gblinear,0.31,4.35,1.3,200,2,490,reg:linear,2015,1,regression
166,0.678499,0.006639,0.265,gblinear,0.6,4.9,1.5,200,2,470,reg:linear,2015,1,regression
167,0.678927,0.006601,0.23,gblinear,1.0,4.25,0.2,200,2,450,reg:linear,2015,1,regression
168,0.680971,0.005522,0.045,gblinear,0.86,3.9,0.6,200,2,420,reg:linear,2015,1,regression
169,0.679894,0.005699,0.185,gblinear,0.17,4.15,2.1,200,2,380,reg:linear,2015,1,regression
